date,dataset,model,prompt_mode,run_mode,records,aspects,parse_failures,rmse_va,rmse_va_normalized,pcc_v,pcc_a,elapsed_seconds,peak_cuda_allocated_gib,notes
2026-08-10,zho_restaurant_dev_task1,train_mean,mean,full,300,685,0,1.2879411511,0.1138389902,,,0.0575263330,0.0,"CPU baseline; constant prediction so PCC is undefined"
2026-08-11,zho_restaurant_dev_task1,Qwen3-4B-Instruct-2507,direct,full,300,685,0,1.9864848828,0.1755821164,0.7122993231,0.4803092277,37.7876880141,9.3096609116,"Official BF16; Transformers; no format retries"
2026-08-11,zho_restaurant_dev_task1,Qwen3-4B-Instruct-2507,cot,full,300,685,0,1.9353279961,0.1710604437,0.7077617378,0.4683654214,38.7893809550,9.4164357185,"Official BF16; Let's think step by step; no format retries"
2026-08-11,zho_restaurant_dev_task1,Qwen3-4B-Instruct-2507,fewshot,full,300,685,0,1.9835888363,0.1753261397,0.7716694350,0.5035823566,58.8040487089,10.6311845779,"Five train anchors; no format retries"
2026-08-11,zho_restaurant_dev_task1,Qwen3-4B-Instruct-2507,direct_calibrated,full,300,685,0,0.9546792177,0.0843825186,0.7125169525,0.4798614103,,,"Per-dimension affine calibration fit on dev"
2026-08-11,zho_restaurant_dev_task1,Qwen3-4B-Instruct-2507,cot_calibrated,full,300,685,0,0.9611840326,0.0849574684,0.7079346389,0.4681192544,,,"Per-dimension affine calibration fit on dev"
2026-08-11,zho_restaurant_dev_task1,Qwen3-4B-Instruct-2507,fewshot_calibrated,full,300,685,0,0.8940462438,0.0790232702,0.7716631545,0.5031690002,,,"Dev-selected final method; per-dimension affine calibration"
2026-08-11,zho_restaurant_test_task1,train_mean,mean,full,1000,1929,0,1.4761066966,0.1304706319,,,0.0458062091,0.0,"CPU baseline; constant prediction so PCC is undefined"
2026-08-11,zho_restaurant_test_task1,Qwen3-4B-Instruct-2507,fewshot,full,1000,1929,0,2.0311753244,0.1795322307,0.7745175462,0.4315632712,164.7490702220,10.6131238937,"Only model prompt run on test; selected before test"
2026-08-11,zho_restaurant_test_task1,Qwen3-4B-Instruct-2507,fewshot_calibrated,full,1000,1929,0,1.1149206501,0.0985459940,0.7745251911,0.4314290922,,,"Final result; dev parameters frozen before test; official script confirmed"
2026-08-12,eng_restaurant_dev_task1,train_mean,mean,full,200,340,0,1.8635399584,0.1647152177,0.0000000000,,,0.0,"English train-mean baseline"
2026-08-12,eng_restaurant_dev_task1,Qwen3-4B-Instruct-2507,direct_calibrated,full,200,340,0,1.1717095354,0.1035654698,0.8251697106,0.4813137909,,,"Per-dimension affine calibration fit on English dev"
2026-08-12,eng_restaurant_dev_task1,Qwen3-4B-Instruct-2507,cot_calibrated,full,200,340,0,1.1722364247,0.1036120406,0.8222508653,0.4983486765,,,"Per-dimension affine calibration fit on English dev"
2026-08-12,eng_restaurant_dev_task1,Qwen3-4B-Instruct-2507,fewshot_calibrated,full,200,340,0,1.0998732547,0.0972159796,0.8659597044,0.4511738317,,,"Dev-selected English method; five train anchors and frozen calibration"
2026-08-12,eng_restaurant_test_task1,Qwen3-4B-Instruct-2507,fewshot,full,1000,1504,0,2.3629920685,0.2088609644,0.8070236573,0.3901928670,119.6366493041,10.3451585760,"Only prompt run on English test; selected before test"
2026-08-12,eng_restaurant_test_task1,Qwen3-4B-Instruct-2507,fewshot_calibrated,full,1000,1504,0,1.4511021582,0.1282605220,0.8070043842,0.3900397818,,,"Frozen English dev parameters; official script confirmed"
2026-08-12,eng_restaurant_dev_task1,Qwen3-4B-Instruct-2507,dynamic_fewshot_calibrated,full,200,340,0,1.1079851878,0.0979329800,0.8568479521,0.4877323271,37.966,10.74,"Per-record BM25 lexical Train retrieval; five English examples; dev affine calibration"
2026-08-12,eng_restaurant_dev_task1,Qwen3-4B-Instruct-2507,ensemble4_calibrated,full,200,340,0,1.0262814085,0.0907113179,0.8800695831,0.5798508479,,,"Equal-weight direct cot fixed-fewshot dynamic-fewshot; dev affine calibration; grouped 5-fold CV RMSE 1.0415"
2026-08-12,eng_restaurant_test_task1,Qwen3-4B-Instruct-2507,ensemble4_calibrated,full,1000,1504,0,1.3661908335,0.1207553503,0.8448344992,0.5057372064,,,"Frozen equal-weight four-route ensemble and dev calibration; official script confirmed"
2026-08-12,eng_restaurant_dev_task1,Qwen3-4B-Instruct-2507-LoRA,dual_head_raw,full,200,340,0,0.8559502803,0.0756560309,0.9288608450,0.6834377565,335.1437380314,8.1999711990,"Seed 42; best epoch 1; training elapsed and peak GPU cover the full three-epoch early-stop run"
2026-08-12,eng_restaurant_dev_task1,Qwen3-4B-Instruct-2507-LoRA,dual_head_calibrated,full,200,340,0,0.8542165313,0.0755027877,0.9288545891,0.6834786067,,,"Dev affine calibration; all 340 aspects retained"
2026-08-12,eng_restaurant_test_task1,Qwen3-4B-Instruct-2507-LoRA,dual_head_raw,full,1000,1504,0,1.2859559787,0.1136635241,0.9047784529,0.6230079056,,,"Best Dev checkpoint; official-format prediction"
2026-08-12,eng_restaurant_test_task1,Qwen3-4B-Instruct-2507-LoRA,dual_head_calibrated,full,1000,1504,0,1.2578151703,0.1111762046,0.9048000871,0.6229533784,,,"Frozen Dev affine calibration"
2026-08-12,eng_restaurant_test_task1,Qwen3-4B-Instruct-2507-LoRA,lora90_ensemble10,full,1000,1504,0,1.2420729499,0.1097847757,0.9082122660,0.6258733432,,,"Final Task 1; Dev-selected 90% calibrated LoRA plus 10% no-training ensemble; official script confirmed"
