date,dataset,task,model,method,records,gold_items,predicted_items,parse_failures,exact_precision,exact_recall,exact_f1,continuous_precision,continuous_recall,continuous_f1,elapsed_seconds,peak_cuda_allocated_gib,notes
2026-08-11,zho_restaurant_dev_task2,2,Qwen3-4B-Instruct-2507,fewshot_repaired_calibrated,300,761,816,0,0.3774509804,0.4047306176,0.3906150919,0.3594432621,0.3854214217,0.3719793303,,,"Dev-selected filtering and affine VA calibration"
2026-08-11,zho_restaurant_dev_task3,3,Qwen3-4B-Instruct-2507,fewshot_repaired_calibrated,300,761,816,0,0.3161764706,0.3390275953,0.3272035510,0.3014912439,0.3232810184,0.3120061572,,,"Official category schema; dev-selected filtering and affine VA calibration"
2026-08-11,zho_restaurant_test_task2,2,Qwen3-4B-Instruct-2507,fewshot_raw,1000,2861,3549,0,0.2758523528,0.3421880461,0.3054602184,0.2538059707,0.3148400524,0.2810475476,918.3782686312,10.4438209534,"Single shared Task 3 generation; Task 2 derived by dropping Category"
2026-08-11,zho_restaurant_test_task3,3,Qwen3-4B-Instruct-2507,fewshot_raw,1000,2861,3549,0,0.2411947027,0.2991960853,0.2670826833,0.2216795082,0.2749879673,0.2454728782,918.3782686312,10.4438209534,"Single final test generation; official script confirmed"
2026-08-11,zho_restaurant_test_task2,2,Qwen3-4B-Instruct-2507,fewshot_filtered_calibrated,1000,2861,2883,0,0.3062781824,0.3086333450,0.3074512535,0.2858403050,0.2880383080,0.2869350972,,,"Final result; frozen dev filter and calibration; official script confirmed"
2026-08-11,zho_restaurant_test_task3,3,Qwen3-4B-Instruct-2507,fewshot_filtered_calibrated,1000,2861,2883,0,0.2708983698,0.2729814750,0.2719359331,0.2525345135,0.2544764077,0.2535017417,,,"Final result; frozen dev filter and calibration; official script confirmed"
2026-08-12,eng_restaurant_dev_task2,2,Qwen3-4B-Instruct-2507-LoRA,joint_task3_raw,200,408,341,0,0.7478005865,0.6250000000,0.6809078772,0.6914912795,0.5779375645,0.6296355843,,,"Reloaded best epoch-2 QLoRA checkpoint"
2026-08-12,eng_restaurant_dev_task3,3,Qwen3-4B-Instruct-2507-LoRA,joint_task3_raw,200,408,342,0,0.7251461988,0.6078431373,0.6613333333,0.6703355665,0.5618989308,0.6113460367,,,"Reloaded best epoch-2 QLoRA checkpoint"
2026-08-12,eng_restaurant_dev_task2,2,Qwen3-4B-Instruct-2507-LoRA,joint_task3_affine,200,408,341,0,0.7478005865,0.6250000000,0.6809078772,0.6996330486,0.5847423274,0.6370490509,,,"Task-2 matched Dev affine; no prediction filtering"
2026-08-12,eng_restaurant_dev_task3,3,Qwen3-4B-Instruct-2507-LoRA,joint_task3_affine,200,408,342,0,0.7251461988,0.6078431373,0.6613333333,0.6783342024,0.5686036696,0.6186407926,,,"Same frozen affine parameters as Task 2; no prediction filtering"
2026-08-12,eng_restaurant_test_task2,2,Qwen3-4B-Instruct-2507-LoRA,joint_task3_raw,1000,2129,1812,0,0.6280353201,0.5345232504,0.5775183963,0.5818154029,0.4951853029,0.5350162446,,,"Single shared Task 3 generation; Task 2 mapped to its official IDs"
2026-08-12,eng_restaurant_test_task3,3,Qwen3-4B-Instruct-2507-LoRA,joint_task3_raw,1000,2129,1857,0,0.5697361335,0.4969469234,0.5308580030,0.5282152042,0.4607306878,0.4921704136,,,"Single final Test generation; parse failures 0"
2026-08-12,eng_restaurant_test_task2,2,Qwen3-4B-Instruct-2507-LoRA,joint_task3_affine,1000,2129,1812,0,0.6280353201,0.5345232504,0.5775183963,0.5868826511,0.4994980572,0.5396759014,,,"Final Task 2; frozen Dev affine; official script confirmed"
2026-08-12,eng_restaurant_test_task3,3,Qwen3-4B-Instruct-2507-LoRA,joint_task3_affine,1000,2129,1857,0,0.5697361335,0.4969469234,0.5308580030,0.5325738244,0.4645324527,0.4962316066,,,"Final Task 3; frozen Dev affine; official script confirmed"
