paper_table,track,task,dataset,dataset_meaning,team,entry_type,metric,direction,score,source_url
Table 2,A,1,eng-rest,English Restaurant,LogSigma,team,RMSE,lower,1.1035,https://arxiv.org/abs/2604.07066
Table 2,A,1,eng-rest,English Restaurant,BertKittens,team,RMSE,lower,1.1812,https://arxiv.org/abs/2604.07066
Table 2,A,1,eng-rest,English Restaurant,Baseline (Kimi-K2),baseline,RMSE,lower,2.1461,https://arxiv.org/abs/2604.07066
Table 2,A,1,eng-rest,English Restaurant,Baseline (Qwen3-14B),baseline,RMSE,lower,2.6427,https://arxiv.org/abs/2604.07066
Table 2,A,1,eng-lap,English Laptop,LogSigma,team,RMSE,lower,1.2408,https://arxiv.org/abs/2604.07066
Table 2,A,1,eng-lap,English Laptop,TeleAI,team,RMSE,lower,1.2425,https://arxiv.org/abs/2604.07066
Table 2,A,1,eng-lap,English Laptop,Baseline (Kimi-K2),baseline,RMSE,lower,2.1893,https://arxiv.org/abs/2604.07066
Table 2,A,1,eng-lap,English Laptop,Baseline (Qwen3-14B),baseline,RMSE,lower,2.8089,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-hot,Japanese Hotel,TeleAI,team,RMSE,lower,0.5561,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-hot,Japanese Hotel,PALI,team,RMSE,lower,0.6237,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-hot,Japanese Hotel,Baseline (Kimi-K2),baseline,RMSE,lower,1.7553,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-hot,Japanese Hotel,Baseline (Qwen3-14B),baseline,RMSE,lower,2.2906,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-fin,Japanese Finance,TeleAI,team,RMSE,lower,0.6581,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-fin,Japanese Finance,PALI,team,RMSE,lower,0.7532,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-fin,Japanese Finance,Baseline (Kimi-K2),baseline,RMSE,lower,1.6396,https://arxiv.org/abs/2604.07066
Table 2,A,1,jpn-fin,Japanese Finance,Baseline (Qwen3-14B),baseline,RMSE,lower,1.8964,https://arxiv.org/abs/2604.07066
Table 2,A,1,rus-rest,Russian Restaurant,PAI,team,RMSE,lower,1.2190,https://arxiv.org/abs/2604.07066
Table 2,A,1,rus-rest,Russian Restaurant,TeleAI,team,RMSE,lower,1.2456,https://arxiv.org/abs/2604.07066
Table 2,A,1,rus-rest,Russian Restaurant,Baseline (Kimi-K2),baseline,RMSE,lower,1.7768,https://arxiv.org/abs/2604.07066
Table 2,A,1,rus-rest,Russian Restaurant,Baseline (Qwen3-14B),baseline,RMSE,lower,2.1528,https://arxiv.org/abs/2604.07066
Table 2,A,1,tat-rest,Tatar Restaurant,PAI,team,RMSE,lower,1.5294,https://arxiv.org/abs/2604.07066
Table 2,A,1,tat-rest,Tatar Restaurant,Habib University,team,RMSE,lower,1.6041,https://arxiv.org/abs/2604.07066
Table 2,A,1,tat-rest,Tatar Restaurant,Baseline (Kimi-K2),baseline,RMSE,lower,1.9380,https://arxiv.org/abs/2604.07066
Table 2,A,1,tat-rest,Tatar Restaurant,Baseline (Qwen3-14B),baseline,RMSE,lower,2.6367,https://arxiv.org/abs/2604.07066
Table 2,A,1,ukr-rest,Ukrainian Restaurant,PAI,team,RMSE,lower,1.1888,https://arxiv.org/abs/2604.07066
Table 2,A,1,ukr-rest,Ukrainian Restaurant,TeleAI,team,RMSE,lower,1.3234,https://arxiv.org/abs/2604.07066
Table 2,A,1,ukr-rest,Ukrainian Restaurant,Baseline (Kimi-K2),baseline,RMSE,lower,1.7805,https://arxiv.org/abs/2604.07066
Table 2,A,1,ukr-rest,Ukrainian Restaurant,Baseline (Qwen3-14B),baseline,RMSE,lower,2.2121,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-fin,Chinese Finance,HUS@NLP-VNU,team,RMSE,lower,0.4841,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-fin,Chinese Finance,YangS_team,team,RMSE,lower,0.4864,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-fin,Chinese Finance,Baseline (Kimi-K2),baseline,RMSE,lower,1.9652,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-fin,Chinese Finance,Baseline (Qwen3-14B),baseline,RMSE,lower,1.4707,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-lap,Chinese Laptop,TeleAI,team,RMSE,lower,0.6103,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-lap,Chinese Laptop,ICT-NLP,team,RMSE,lower,0.6553,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-lap,Chinese Laptop,Baseline (Kimi-K2),baseline,RMSE,lower,1.6440,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-lap,Chinese Laptop,Baseline (Qwen3-14B),baseline,RMSE,lower,1.7706,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-rest,Chinese Restaurant,ICT-NLP,team,RMSE,lower,0.9256,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-rest,Chinese Restaurant,TeleAI,team,RMSE,lower,0.9265,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-rest,Chinese Restaurant,Baseline (Kimi-K2),baseline,RMSE,lower,1.8959,https://arxiv.org/abs/2604.07066
Table 2,A,1,zho-rest,Chinese Restaurant,Baseline (Qwen3-14B),baseline,RMSE,lower,2.0073,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-rest,English Restaurant,Takoyaki,team,cF1,higher,0.7021,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-rest,English Restaurant,nchellwig,team,cF1,higher,0.6985,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-rest,English Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.4920,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-rest,English Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.4483,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-lap,English Laptop,Takoyaki,team,cF1,higher,0.6366,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-lap,English Laptop,PALI,team,cF1,higher,0.6242,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-lap,English Laptop,Baseline (Kimi-K2),baseline,cF1,higher,0.4424,https://arxiv.org/abs/2604.07066
Table 2,A,2,eng-lap,English Laptop,Baseline (Qwen3-14B),baseline,cF1,higher,0.3827,https://arxiv.org/abs/2604.07066
Table 2,A,2,jpn-hot,Japanese Hotel,TeleAI,team,cF1,higher,0.5837,https://arxiv.org/abs/2604.07066
Table 2,A,2,jpn-hot,Japanese Hotel,TeamLasse,team,cF1,higher,0.5694,https://arxiv.org/abs/2604.07066
Table 2,A,2,jpn-hot,Japanese Hotel,Baseline (Kimi-K2),baseline,cF1,higher,0.3464,https://arxiv.org/abs/2604.07066
Table 2,A,2,jpn-hot,Japanese Hotel,Baseline (Qwen3-14B),baseline,cF1,higher,0.1622,https://arxiv.org/abs/2604.07066
Table 2,A,2,rus-rest,Russian Restaurant,PAI,team,cF1,higher,0.5793,https://arxiv.org/abs/2604.07066
Table 2,A,2,rus-rest,Russian Restaurant,TeleAI,team,cF1,higher,0.5736,https://arxiv.org/abs/2604.07066
Table 2,A,2,rus-rest,Russian Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.4242,https://arxiv.org/abs/2604.07066
Table 2,A,2,rus-rest,Russian Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.3341,https://arxiv.org/abs/2604.07066
Table 2,A,2,tat-rest,Tatar Restaurant,nchellwig,team,cF1,higher,0.5119,https://arxiv.org/abs/2604.07066
Table 2,A,2,tat-rest,Tatar Restaurant,Takoyaki,team,cF1,higher,0.5092,https://arxiv.org/abs/2604.07066
Table 2,A,2,tat-rest,Tatar Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.3577,https://arxiv.org/abs/2604.07066
Table 2,A,2,tat-rest,Tatar Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.2020,https://arxiv.org/abs/2604.07066
Table 2,A,2,ukr-rest,Ukrainian Restaurant,PAI,team,cF1,higher,0.5787,https://arxiv.org/abs/2604.07066
Table 2,A,2,ukr-rest,Ukrainian Restaurant,TeleAI,team,cF1,higher,0.5712,https://arxiv.org/abs/2604.07066
