source,task,system,method,metric,direction,score,official_rank,notes,source_url
paper,1,LogSigma,learned log-variance weighting plus multi-seed ensemble,RMSE,lower,1.1035,1,Official SemEval result in paper Table 2,https://arxiv.org/abs/2604.07066
paper,1,BertKittens,participant system,RMSE,lower,1.1812,2,Official SemEval result in paper Table 2,https://arxiv.org/abs/2604.07066
paper,1,Baseline (Kimi-K2),official baseline,RMSE,lower,2.1461,,Official baseline in paper Table 2,https://arxiv.org/abs/2604.07066
paper,1,Baseline (Qwen3-14B),official baseline,RMSE,lower,2.6427,,Official baseline in paper Table 2,https://arxiv.org/abs/2604.07066
this_repo,1,Qwen3-4B-Instruct-2507-LoRA,90% LoRA dual-head regression plus 10% no-training ensemble,RMSE,lower,1.2421,,Post-competition local experiment; not an official submission,https://arxiv.org/abs/2604.07066
paper,2,Takoyaki,BM25 retrieval plus Gemini 3.0 Pro ensemble and correction,cF1,higher,0.7021,1,Official SemEval result in paper Table 2,https://arxiv.org/abs/2604.07066
paper,2,nchellwig,participant system,cF1,higher,0.6985,2,Official SemEval result in paper Table 2,https://arxiv.org/abs/2604.07066
paper,2,Baseline (Kimi-K2),official baseline,cF1,higher,0.4920,,Official baseline in paper Table 2,https://arxiv.org/abs/2604.07066
paper,2,Baseline (Qwen3-14B),official baseline,cF1,higher,0.4483,,Official baseline in paper Table 2,https://arxiv.org/abs/2604.07066
this_repo,2,Qwen3-4B-Instruct-2507-LoRA,joint Task 3 extraction LoRA plus frozen Dev VA affine,cF1,higher,0.5397,,Post-competition local experiment; not an official submission,https://arxiv.org/abs/2604.07066
paper,3,Takoyaki,BM25 retrieval plus Gemini 3.0 Pro ensemble and correction,cF1,higher,0.6514,1,Official SemEval result in paper Table 2,https://arxiv.org/abs/2604.07066
paper,3,nchellwig,participant system,cF1,higher,0.6403,2,Official SemEval result in paper Table 2,https://arxiv.org/abs/2604.07066
paper,3,Baseline (Kimi-K2),official baseline,cF1,higher,0.3746,,Official baseline in paper Table 2,https://arxiv.org/abs/2604.07066
paper,3,Baseline (Qwen3-14B),official baseline,cF1,higher,0.2673,,Official baseline in paper Table 2,https://arxiv.org/abs/2604.07066
this_repo,3,Qwen3-4B-Instruct-2507-LoRA,joint Task 3 extraction LoRA plus frozen Dev VA affine,cF1,higher,0.4962,,Post-competition local experiment; not an official submission,https://arxiv.org/abs/2604.07066
